Designator,Mid X,Mid Y,Layer,Rotation
C1,85.033000mm,-110.000000mm,Top,33
C2,90.000000mm,-114.967000mm,Top,56
C3,110.000000mm,-114.967000mm,Top,123
C4,114.967000mm,-110.000000mm,Top,146
C5,114.967000mm,-90.000000mm,Top,214
C6,110.000000mm,-85.033000mm,Top,237
C7,90.000000mm,-85.033000mm,Top,304
C8,85.033000mm,-90.000000mm,Top,327
C9,118.000000mm,-133.500000mm,Top,270
C10,118.000000mm,-137.500000mm,Top,90
C11,93.000000mm,-130.000000mm,Top,270
C12,70.500000mm,-81.000000mm,Top,270
C13,121.000000mm,-122.500000mm,Top,270
C14,123.000000mm,-122.500000mm,Top,270
C15,126.500000mm,-126.000000mm,Top,0
C16,68.500000mm,-81.000000mm,Top,270
C17,130.000000mm,-117.500000mm,Top,0
C18,79.500000mm,-76.500000mm,Top,90
C19,77.500000mm,-76.500000mm,Top,90
C20,102.000000mm,-103.500000mm,Top,180
C21,127.000000mm,-117.500000mm,Top,180
C22,73.000000mm,-72.500000mm,Top,180
C23,72.500000mm,-69.500000mm,Top,270
C24,81.000000mm,-135.000000mm,Top,270
C25,79.000000mm,-135.000000mm,Top,270
C26,63.500000mm,-118.000000mm,Top,180
C27,100.000000mm,-64.500000mm,Top,180
C28,80.000000mm,-132.500000mm,Top,0
C29,67.500000mm,-110.500000mm,Top,90
D1,83.374000mm,-104.938000mm,Top,293
D2,91.735336mm,-115.248051mm,Top,338
D3,104.938000mm,-116.626000mm,Top,22
D4,115.248051mm,-108.264664mm,Top,67
D5,116.626000mm,-95.062000mm,Top,112
D6,108.264664mm,-84.751949mm,Top,157
D7,95.062000mm,-83.374000mm,Top,203
D8,84.751949mm,-91.735336mm,Top,248
J2,100.000000mm,-140.600000mm,Top,0
L1,75.750000mm,-76.500000mm,Top,270
Q1,73.500000mm,-80.000000mm,Top,0
Q2,79.500000mm,-138.500000mm,Top,0
R1,94.500000mm,-133.000000mm,Top,180
R2,105.500000mm,-133.000000mm,Top,0
R3,73.000000mm,-75.500000mm,Top,180
R4,73.000000mm,-74.000000mm,Top,0
R5,75.000000mm,-70.500000mm,Top,0
R6,75.000000mm,-69.000000mm,Top,180
R7,129.000000mm,-134.500000mm,Top,270
R8,130.500000mm,-134.500000mm,Top,270
R9,132.000000mm,-134.500000mm,Top,270
R10,133.500000mm,-134.500000mm,Top,270
R11,135.000000mm,-134.500000mm,Top,270
R12,136.500000mm,-134.500000mm,Top,270
R13,63.000000mm,-109.000000mm,Top,180
R14,64.000000mm,-110.500000mm,Top,180
R15,69.000000mm,-108.000000mm,Top,0
R16,70.000000mm,-106.500000mm,Top,180
R17,80.000000mm,-131.000000mm,Top,180
U1,100.000000mm,-100.000000mm,Top,180
U2,76.500000mm,-135.000000mm,Top,180
U3,88.500000mm,-133.500000mm,Top,0
U4,67.500000mm,-74.000000mm,Top,180
U5,128.000000mm,-122.000000mm,Top,90
U6,123.500000mm,-135.500000mm,Top,0
U7,68.500000mm,-114.500000mm,Top,90
U9,112.000000mm,-135.500000mm,Top,180
